,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市中正區?m門街61~90號,10.65,12.0,4,3,88.7,2,1,1,1,18250000,205750,RPTNMLPKJIOFFAA77CA,2,1,0,108,633076.923076923,32.76923076923077,272.9230769230769,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0087745,121.4573162,0,15,20,6,5,20,3,2,1,0
1,臺北市中正區詔安街276巷1~30號,35.75,4.0,3,52,97.41,3,2,1,0,15800000,162201,RPTNMLNJKIOFFAA57CA,1,1,0,108,499080.0,110.0,299.7230769230769,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0279078,121.5084799,0,3,10,3,6,9,2,3,0,0
2,臺北市中正區忠孝東路一段151~180號,5.54,13.0,4,2,57.32,1,1,1,1,18800000,327983,RPOOMLKLJIOFFBA07CA,1,1,0,105,1009178.4615384615,17.046153846153846,176.36923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0442295,121.5267772,1,13,14,4,6,20,0,2,1,0
3,臺北市中正區忠孝東路一段151~180號,5.64,13.0,4,2,76.58,1,1,1,1,21000000,340197,RPPOMLKLJIOFFBA17CA,1,1,1,108,1046760.0,17.353846153846153,235.6307692307692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0442295,121.5267772,1,13,14,4,6,20,0,2,1,0
4,臺北市中正區忠孝東路一段151~180號,7.22,13.0,4,2,74.67,2,1,1,1,27000000,361591,RPQOMLKLJIOFFBA27CA,1,1,0,108,1112587.6923076923,22.215384615384615,229.75384615384615,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0442295,121.5267772,1,13,14,4,6,20,0,2,1,0
5,臺北市中正區三元街211~240號,6.36,12.0,4,29,32.0,0,1,1,1,5920000,185000,RPTRMLMJKIOFFAA97DA,1,1,0,108,569230.7692307692,19.56923076923077,98.46153846153845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0277462,121.5130252,0,1,8,3,5,9,2,6,0,0
6,臺北市中正區重慶南路一段61~90號,3.09,11.0,4,46,24.83,0,1,1,1,4980000,200564,RPUPMLSKJIOFFBA48CA,9,1,0,108,617120.0,9.507692307692308,76.39999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.044526,121.513378,0,20,20,20,10,20,1,3,2,0
7,臺北市中正區金山南路一段53巷1~30號,45.25,4.0,4,35,137.31,3,2,2,0,30880000,224893,RPUNMLNKJIOFFBA77CA,1,1,0,108,691978.4615384615,139.23076923076923,422.4923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0390515,121.5292086,0,19,14,8,11,20,0,0,1,0
8,臺北市中正區□門街121~150號,9.69,14.0,4,11,81.34,1,1,1,1,14400000,177035,RPQNMLNKJIOFFAA27CA,1,1,1,108,544723.0769230769,29.815384615384612,250.27692307692308,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0421407,121.5198716,0,11,20,20,5,19,1,2,2,0
9,臺北市中正區汀州路二段6巷1~30號,19.6,5.0,4,40,59.41,2,1,2,0,6550000,110251,RPTPMLPLJIOFFAA08CA,1,1,0,108,339233.8461538461,60.30769230769231,182.79999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0257094,121.5158392,0,3,8,5,6,10,2,1,0,0
